UNA Brand,Region,ASIN,Competitor Brand,UNA ASIN,has_competitor
Jocuu,US,B0B5TC4RPD,,,0
Jocuu,US,B0B5TFSGQB,,,0
Jocuu,US,B0B5THSZC7,,,0
Jocuu,US,B0BHYMN6BR,,,0
Jocuu,US,B0BHYN489J,,,0
Jocuu,US,B0BJ1XY23V,,,0
Juju,US,B09T5NDGNL,,,0
Juju,US,B09T5TWLV3,,,0
Juju,US,B09T5V4FV2,,,0
Juju,US,B09T62525C,,,0
Juju,US,B09T627ZXK,,,0
Juju,US,B09T67XHS8,,,0
Juju,US,B09T6813VH,,,0
Juju,US,B09T6P7YK4,,,0
Kadams,US,B06ZXRZ36R,,,0
Kadams,US,B075SYFNBH,,,0
Kadams,US,B078B631T7,,,0
Kadams,US,B078XQ7VN6,,,0
Kadams,US,B078XR3B7L,,,0
Kadams,US,B07DFB8N73,,,0
Kadams,US,B07J5XVFPK,,,0
Kadams,US,B07J9PMQGL,,,0
Kadams,US,B07L6HHJM4,,,0
Kadams,US,B07NVB5KQQ,,,0
Kadams,US,B07P33499R,,,0
Kadams,US,B07QJFYV96,,,0
Kadams,US,B07QKJ4QFV,,,0
Kadams,US,B07V5T81FN,,,0
Kadams,US,B07V6VVD77,,,0
Kadams,US,B07V95V633,,,0
Kadams,US,B07YXGYWW4,,,0
Kadams,US,B08JCLMTXX,,,0
Kadams,US,B09DK7P527,,,0
Kadams,US,B0B4JC7T1N,,,0
Kadams,US,B0B4JDVNRH,,,0
Kadams,US,B0B4JMMSGN,,,0
Kadams,US,B0B4JP4D8B,,,0
Kadams,US,B0B4JQ4SCN,,,0
Kadams,US,B0BCDGR6Z8,,,0
Kadams,US,B0BCF4SKD8,,,0
Marvable_ErgoTune,US,B09RK5NGVD,,,0
Marvable_ErgoTune,US,B09RMPP7YL,,,0
Marvable_ErgoTune,US,B09RMQ447M,,,0
Marvable_ErgoTune,US,B09RN21K15,,,0
Marvable_ErgoTune,US,B0BCVVV25G,,,0
Marvable_ErgoTune,US,B0BCVWXT3G,,,0
Mydethun,US,B074QM7756,,,0
Mydethun,US,B074SF11JZ,,,0
Mydethun,US,B075JHP7TK,,,0
Mydethun,US,B075NRHJPG,,,0
Mydethun,US,B076ZG7V8C,,,0
Mydethun,US,B07BFSHRP3,,,0
Mydethun,US,B07BFSXNJH,,,0
Mydethun,US,B07BFSZ7ZZ,,,0
Mydethun,US,B07C232ZGV,,,0
Mydethun,US,B07QB18QPX,,,0
Mydethun,US,B07QBZYYPG,,,0
Mydethun,US,B07QC1HC5L,,,0
Mydethun,US,B07QC1JXKX,,,0
Mydethun,US,B08XVQQ14Q,,,0
Mydethun,US,B08XW11XSW,,,0
Mydethun,US,B08Z2Y3X6R,,,0
Mydethun,US,B091HJW1K8,,,0
Mydethun,US,B0937B3L2R,,,0
Mydethun,US,B0BCW3DS2Y,,,0
Mydethun,US,B0BCW5QHPY,,,0
Mydethun,US,B0BCWBJ8M3,,,0
Mydethun,US,B0BCWCCV3T,,,0
Mydethun,US,B0BCWDZWLR,,,0
Mydethun,US,B0BCWKJXT6,,,0
Mydethun,US,B0BD8CKVYS,,,0
Mydethun,US,B0BHNLGSSS,,,0
Samuel World,US,B01HVFXOZY,,,0
Samuel World,CA,B073CK22JZ,,,0
Samuel World,US,B074M13VK4,,,0
Samuel World,US,B07SCZLYDR,,,0
Samuel World,US,B083H6SM9G,,,0
Samuel World,CA,B0868B3HN2,,,0
Samuel World,MX,B0868B3HN2,,,0
Samuel World,US,B0868BCWMB,,,0
Samuel World,CA,B08T1HRLSV,,,0
Samuel World,MX,B08T1HRLSV,,,0
Samuel World,US,B08T1HRLSV,,,0
Samuel World,US,B08T25LJ2L,,,0
Samuel World,US,B0BC93G3Y6,,,0
Samuel World,US,B0BCNTKDSH,,,0
Samuel World,US,B0BGLGL8SD,,,0
Samuel World,US,B0BLCM7JB3,,,0
Samuel World,US,B0BLCP5VWH,,,0
Samuel World,US,B0BLCXT7GS,,,0
TSM,US,B09TKJ4FSC,,,0
TSM,US,B0B2Q3YYCB,,,0
TSM,US,B0B2Q5138T,,,0
TSM,US,B0B2QJRXZF,,,0
Unjumbly,US,B01ANEI1G2,,,0
Unjumbly,US,B01LXVSNBZ,,,0
Unjumbly,US,B01MAWLU1L,,,0
Unjumbly,US,B078HGH7PX,,,0
Unjumbly,US,B0895VHXZ9,,,0
Unjumbly,US,B09BZJL4DY,,,0
Unjumbly,US,B0B34Q83YD,,,0
Unjumbly,US,B0B5641F38,,,0
Unjumbly,US,B0B63CPX56,,,0
Unjumbly,US,B0B63KNZTC,,,0
Unjumbly,US,B0B6N58DP4,,,0
Unjumbly,US,B0B8CKVXRM,,,0
Unjumbly,US,B0B8CMGBYX,,,0
Unjumbly,US,B0B9RBZ4MK,,,0
Unjumbly,US,B0B9RC7G8H,,,0
Unjumbly,US,B0BBTP46GX,,,0
Unjumbly,US,B0BF9M6SMG,,,0
Unjumbly,US,B0BJDHFWKJ,,,0
Unjumbly,US,B0BPG464C4,,,0
Unjumbly,US,B0BPG5YGQS,,,0
Unjumbly,US,B0BPG83ZHC,,,0
Velener,US,B01DEO5KE4,,,0
Velener,US,B01DET8BBI,,,0
Velener,US,B01DETAZB2,,,0
Velener,US,B01DU1AQ36,,,0
Velener,US,B01EP3DT2I,,,0
Velener,US,B01LZ7ZFLH,,,0
Velener,US,B01M0IXSCL,,,0
Velener,US,B01MD1PJK4,,,0
Velener,US,B07662TKPG,,,0
Velener,US,B07662WVPD,,,0
Velener,US,B0768XP26K,,,0
Velener,US,B07M6V5QX9,,,0
Velener,US,B07MPNHJRF,,,0
Velener,US,B081LR9HFP,,,0
Velener,US,B081LS3QH2,,,0
Velener,US,B089N62XN5,,,0
Velener,US,B08B85VQ2D,,,0
Velener,US,B08HCLLS99,,,0
Velener,US,B08HQDWZDQ,,,0
Velener,US,B08L3D57LY,,,0
Velener,US,B08L5ZZGCP,,,0
Velener,US,B08L62R3S9,,,0
Velener,US,B08XJ3CD8J,,,0
Velener,US,B0912FGJZP,,,0
Velener,US,B0922B4Z1Q,,,0
Velener,US,B0922B4Z1S,,,0
Velener,US,B092LXX314,,,0
Velener,US,B0BCQFXQ9N,,,0
Velener,US,B0BDLW6CMS,,,0
Velener,US,B0BDLZGY88,,,0
Viverie,US,B07PCPBX46,,,0
Viverie,DE,B09NBXRRRN,,,0
Viverie,UK,B09NBXRRRN,,,0
Viverie,DE,B09NBXQSL7,,,0
Viverie,UK,B09NBXQSL7,,,0
Viverie,DE,B0BCKVF1SN,,,0
Viverie,UK,B0BCKVF1SN,,,0
Viverie,DE,B0BCKVL1X2,,,0
Viverie,UK,B0BCKVL1X2,,,0
Viverie,DE,B0BCKL7Z3M,,,0
Viverie,UK,B0BCKL7Z3M,,,0
Viverie,DE,B0BCHYWX6N,,,0
Viverie,UK,B0BCHYWX6N,,,0
Viverie,DE,B08JC4VD7Z,,,0
Viverie,UK,B08JC4VD7Z,,,0
Viverie,DE,B09445N4LR,,,0
Viverie,UK,B09445N4LR,,,0
Viverie,DE,B0BCJ9VDDT,,,0
Viverie,UK,B0BCJ9VDDT,,,0
Viverie,DE,B0BCJCYL5V,,,0
Viverie,UK,B0BCJCYL5V,,,0
Yangqihome,US,B07KG88ZLG,,,0
Yangqihome,US,B07KG9P2ML,,,0
Yangqihome,US,B07KGC22WY,,,0
Yangqihome,US,B07KGCJ616,,,0
Yangqihome,US,B07KGDLZ6M,,,0
Yangqihome,US,B07KGF97MJ,,,0
Yangqihome,US,B07L84QGSF,,,0
Yangqihome,US,B07RPJ3MT3,,,0
Yangqihome,US,B07RTQPB21,,,0
Yangqihome,US,B07S7DCXX7,,,0
Yangqihome,US,B07S7DXF2P,,,0
Yangqihome,US,B07S8CSK21,,,0
Yangqihome,US,B07S9DVFCJ,,,0
Yangqihome,US,B07S9G29G7,,,0
Yangqihome,US,B07T28S6MZ,,,0
Yangqihome,US,B07T3DPTHY,,,0
Yangqihome,US,B07T9LYWSW,,,0
Yangqihome,US,B07T9M8M4N,,,0
Yangqihome,US,B07TBL1KXX,,,0
Yangqihome,US,B07TBMWQGW,,,0
Yangqihome,US,B07TCMYFPP,,,0
Yangqihome,US,B07TCPBSL7,,,0
Yangqihome,US,B07TGTQTFG,,,0
Yangqihome,US,B07V5C41DD,,,0
Yangqihome,US,B07WFMMKML,,,0
Yangqihome,US,B07WGYNQFV,,,0
Yangqihome,US,B07WZF2GCZ,,,0
Yangqihome,US,B07X8JHL1H,,,0
Yangqihome,US,B07XCQSJFH,,,0
Yangqihome,US,B07XCQV1NP,,,0
Yangqihome,US,B07Z3JYCJL,,,0
Yangqihome,US,B07ZQ89XT2,,,0
Yangqihome,US,B07ZQ98KZY,,,0
Yangqihome,US,B07ZQ9N2GG,,,0
Yangqihome,US,B07ZQ9SDCH,,,0
Yangqihome,US,B081YJ7MRL,,,0
Yangqihome,US,B082S98273,,,0
Yangqihome,US,B082S9GLM2,,,0
Yangqihome,US,B083X68FCQ,,,0
Yangqihome,US,B083XK5XKY,,,0
Yangqihome,US,B083XQ9NHV,,,0
Yangqihome,US,B083XR2KD7,,,0
Yangqihome,US,B083XSGDBZ,,,0
Yangqihome,US,B083XSV25Q,,,0
Yangqihome,US,B083XW9NS1,,,0
Yangqihome,US,B085HHTQFR,,,0
Yangqihome,US,B085HMNDFM,,,0
Yangqihome,US,B085HPK9GL,,,0
Yangqihome,US,B085HS57PF,,,0
Yangqihome,US,B086C21T3F,,,0
Yangqihome,US,B086C8LS1B,,,0
Yangqihome,US,B089SJ46KM,,,0
Yangqihome,US,B08BC4R8Z8,,,0
Yangqihome,US,B08BHJLVQR,,,0
Yangqihome,US,B08BHMRYHQ,,,0
Yangqihome,US,B08BNDTC8Z,,,0
Yangqihome,US,B08BNJVJY6,,,0
Yangqihome,US,B08BNLTJP9,,,0
Yangqihome,US,B08C4W2WXR,,,0
Yangqihome,US,B08C9F9BQH,,,0
Yangqihome,US,B08C9SYXST,,,0
Yangqihome,US,B08CDDXDRM,,,0
Yangqihome,US,B08CDQZXYJ,,,0
Yangqihome,US,B08CGY1P2G,,,0
Yangqihome,US,B08CMFV6RS,,,0
Yangqihome,US,B08CMTNYR8,,,0
Yangqihome,US,B08CZGNJPH,,,0
Yangqihome,US,B08DCZSW9K,,,0
Yangqihome,US,B08FC5PKLY,,,0
Yangqihome,US,B08FC68181,,,0
Yangqihome,US,B08FDLDVJZ,,,0
Yangqihome,US,B08FHT6VNM,,,0
Yangqihome,US,B08FR65DVD,,,0
Yangqihome,US,B08FSL8MBX,,,0
Yangqihome,US,B08G8GHSK1,,,0
Yangqihome,US,B08G8HQBHS,,,0
Yangqihome,US,B08GLG58K4,,,0
Yangqihome,US,B08GLH87X8,,,0
Yangqihome,US,B08GLY1DKR,,,0
Yangqihome,US,B08GLY1KW8,,,0
Yangqihome,US,B08H23QCFH,,,0
Yangqihome,US,B08HVGGR8T,,,0
Yangqihome,US,B08HYZY9Z5,,,0
Yangqihome,US,B08HZ27FQ4,,,0
Yangqihome,US,B08JLD8YKG,,,0
Yangqihome,US,B08JLVS11D,,,0
Yangqihome,US,B08K36FCG3,,,0
Yangqihome,US,B08K77Q7TT,,,0
Yangqihome,US,B08K781K9N,,,0
Yangqihome,US,B08KG1NGJR,,,0
Yangqihome,US,B08KG73YYS,,,0
Yangqihome,US,B08KGFFRNJ,,,0
Yangqihome,US,B08KZD92DV,,,0
Yangqihome,US,B08KZVJYYH,,,0
Yangqihome,US,B08N4C85QB,,,0
Yangqihome,US,B08N4V9F2H,,,0
Yangqihome,US,B08N52MJ9P,,,0
Yangqihome,US,B08NBW5V3G,,,0
Yangqihome,US,B08NC2ZNCB,,,0
Yangqihome,US,B08P17MV58,,,0
Yangqihome,US,B08PTQKR46,,,0
Yangqihome,US,B08RRRJD6V,,,0
Yangqihome,US,B0936MP1ZP,,,0
Yangqihome,US,B093FHQSCS,,,0
Yangqihome,US,B093FJHJ77,,,0
Yangqihome,US,B093FKT1MG,,,0
Yangqihome,US,B094VHH15J,,,0
Yangqihome,US,B094VN4BZW,,,0
Yangqihome,US,B094XYZ48Q,,,0
Yangqihome,US,B098X33GL5,,,0
Yangqihome,US,B098X8NHZ2,,,0
Yangqihome,US,B099DC5G78,,,0
