mapping,seller_sku,brand
HKZ_ZingerBlue_3pc,HKZ-ZINGERBLUE,Hookeze
FBM-HSE101BR-S,HSE101BR-S,ZooSnoods
INPDLSP1PBLU,HXH_4422_Blue,Inaya
IG-0646-49EN-UPC,IG-0646-49EN,Bellaforte
IG-0646-49EN-UK,IG-0646-49EN,Bellaforte
JOC-C2-AW-Black,JOC-C2-AWBlack,Jocuu
JOC-C2-AW-Brown,JOC-C2-AWBrown,Jocuu
JOC-C2-AW-White,JOC-C2-AWWhite,Jocuu
JOC-C2-FPM-Green,JOC-C2-FPMGreen,Jocuu
JOC-C2-FPM-Pink,JOC-C2-FPMPink,Jocuu
Jute Placemats 30 cm,Jute Placemats 30 cm x6,YangQiHome
Jute Placemats 35 cm,Jute Placemats 35 cm x6,YangQiHome
A4-BZZ0-HN2L,K0004STH,Kadams
6D-R2A0-PQX7,K0004STH,Kadams
UN-Z0O5-4YCV,K0004STH,Kadams
4J-BCPR-J31G,K0006ST,Kadams
1K-OFBC-SM2H,K0006STH,Kadams
CX-ZZ63-GKY8,K0006STH,Kadams
WN-8R59-8QWK,K0006STHW,Kadams
BV-YREI-27T4,K0006STHW,Kadams
2F-S5IH-A952,K0007STH,Kadams
ZX-NMBJ-N45J,K0007STH,Kadams
VH-Q4GP-7N2G,K0007STH,Kadams
TG-72DN-04DS,K0007STHG,Kadams
AV-PF15-3V2U,K0007STHG,Kadams
EU-13BT-RTGI,K0007STHP,Kadams
8V-RAHN-LXN8,K0007STHP,Kadams
7M-H6BD-760Y,K0007STHR,Kadams
PC-GIN3-J2GV,K0007STHR,Kadams
X8-LC4T-EHS1,K0007STHW,Kadams
GN-R7OO-7ITE,K0007STHW,Kadams
D9-IP10-FQWK,K0223S,Kadams
QZ-25OY-J53Q,K0223S,Kadams
3N-YWIH-066S,K0310STH,Kadams
N7-548T-DI8Z,K03160BL,Kadams
A5-L7AZ-T7LK,K2,Inaya
INBBK50PW,K3x50,Inaya
amzn.gr.KA-0002-UK-NEW-dIjxaFntoBEjOY-VG,KA-0002-UK-NEW,Jocuu
D9-1NB3-DJO1,Large Basket,Finer Wares
LL_2,Large Basket,Finer Wares
ED-K970-UC2G,LB5PKMIX,Hookeze
LBTP-BLU-FBA,LBTP-BLU,Hookeze
SINPK-BLU2,LBTP-BLU,Hookeze
HELBMASK,LBTP-BLU,Hookeze
HISNHER,LBTP-BLU,Hookeze
HOOK2PKBLU,LBTP-BLU,Hookeze
SINPK-BLU,LBTP-BLU,Hookeze
HOOK2PKYEL,LBTP-YEL,Hookeze
SINPK-YEL2,LBTP-YEL,Hookeze
LBTP-YEL-FBA,LBTP-YEL,Hookeze
FBM-LEO101YW-S,LEO101YW-S,ZooSnoods
INYMSLV25PG,LH06Gx5,Inaya
INYMSLV25PW,LH06Wx5,Inaya
HKZ_MB_Blue,MB-BLUE,
HKZ_MB_Green,MB-GREEN,
HKZ_MB_Orange,MB-ORANGE,
INMGCNDBWSL,MCDV2,Inaya
amzn.gr.MJ-1503-BLACK-G4CXS0KvdgeB8Em-LN,MJ-1503-BLACK,Jocuu
amzn.gr.MJ1503-AC6-zfmV46WHO16B3en1mW-VG,MJ1503-AC6,Jocuu
amzn.gr.MJ1503-AC6-hm7uEMvTVPeXTS0oWF-LN,MJ1503-AC6,Jocuu
amzn.gr.MJ1503-AC6-2x2hEibACIOx8Cvz-4-GD,MJ1503-AC6,Jocuu
Ms-Eu-059,Moon-light-059,Mydethun
FZ-1CKC-YD56,Moon-light-070,Mydethun
INMGTRIABWSL,MTRGV2,Inaya
Myrtle Beach-Clear-1-88 oz,Myrtle Beach-Clear-1-88oz,Bellaforte
N9-29Z7-5NY3-UPC,N9-29Z7-5NY3,Bellaforte
HELBMASK,NECKSHIELD,Hookeze
O0-KHNC-BZP2-UPC,O0-KHNC-BZP2,Bellaforte
O0-KHNC-BZP2-UK,O0-KHNC-BZP2,Bellaforte
OS-1805-C4JA-UPC,OS-1805-C4JA,Bellaforte
D4-ZBG8-PNJY,Party Décor Kit,Finer Wares
BSB123,Party Décor Kit,Finer Wares
UJB-PLHOLDER-BL,PLHOLDER-BL,Unjumbly
HELBPLBLUE,PLIER-BLU,Hookeze
HKZ-Plier-Blue1,PLIER-BLU,Hookeze
HKZ-Plier-Red1,PLIER-RED,Hookeze
HKZ-Plier-Grey1,PLIER-SILVER,Hookeze
HELBPLGRY,PLIER-SILVER,Hookeze
CD-4W04-Y25W-RAINBOW,Rainbow Letter Board,Finer Wares
FBM-RBT101BE-L,RBT101BE-L,ZooSnoods
FBM-RBT101WH-L,RBT101WH-L,ZooSnoods
FBM-RBT101WH-M,RBT101WH-M,ZooSnoods
FBM-RBT101WH-S,RBT101WH-S,ZooSnoods
BM1033,Rolling Pin-11,Gobam
BM1032,Rolling Pin-13,Gobam
BM1042-1,Rolling Pin-14.5,Gobam
GBM1042,Rolling Pin-15.8,Gobam
BM1042,Rolling Pin-15.8,Gobam
FNW-RDC-Blue,Rope Caddy Blue,Finer Wares
FNW-RDC-Pink,Rope Caddy Pink,Finer Wares
FNW-RDC-XL-Blue,Rope Caddy XL Blue,Finer Wares
FNW-RDC-XL-Original,Rope Caddy XL Original,Finer Wares
FNW-RDC-XL-Pink,Rope Caddy XL Pink,Finer Wares
TZ-X6K4-DVHX,Rope Diaper Caddy,Finer Wares
LL_1,Rope Diaper Caddy,Finer Wares
Acacia Tray Round 30 cm,Round Acacia Tray 30 cm,YangQiHome
Round Storage Basket 3,Round Storage Basket 3,YangQiHome
FBM-RST101YW-M,RST101YW-M,ZooSnoods
S0-YQ7B-NJH8-UK,S0-YQ7B-NJH8,Bellaforte
S0-YQ7B-NJH8-UPC,S0-YQ7B-NJH8,Bellaforte
S0-YQ7B-NJH8-UP,S0-YQ7B-NJH8,Bellaforte
BM1054,Serving Tray-Black,Gobam
BM1053,Serving Tray-Natural,Gobam
INRBG18MGW,SG018GW,Inaya
FBM-SHK101BU-M,SHK101BU-M,ZooSnoods
FBM-SHK101GY-L,SHK101GY-L,ZooSnoods
FBM-SHK101GY-M,SHK101GY-M,ZooSnoods
FBM-SHK101GY-S,SHK101GY-S,ZooSnoods
SDO/Beige,Shoe Rack 24p Beige,Unjumbly
9G-LIN2-T1F2,Shoe Rack 24p Grey,Unjumbly
YP-QK84-6YM2,Shoe Rack 24p Grey,Unjumbly
RZ-BR3Z-VEPP - AU,Shoe Rack 24p Pink,Unjumbly
2K-YL63-HRBT,Shoe Rack 24p Pink,Unjumbly
RZ-BR3Z-VEPP,Shoe Rack 24p Pink,Unjumbly
BM1008-1,Shower Caddy-Main-L,Gobam
BM1008,Shower Caddy-Main-M,Gobam
MB1008,Shower Caddy-Main-M,Gobam
BM1071-1,Shower Caddy-Organiser-L,Gobam
BM1071,Shower Caddy-Organiser-M,Gobam
SINPK-GRN-FBA,SINPK-GRN,Hookeze
MV-REYW-NYZQ,SINPK-GRN,Hookeze
OUW-2Z4-UMQ,SINPK-GRN,Hookeze
HOOK2PKPINK,SINPK-PINK,Hookeze
SINPK-PNK,SINPK-PINK,Hookeze
SINPK-PINK-FBA,SINPK-PINK,Hookeze
HISNHER,SINPK-PINK,Hookeze
LBTP-PUR,SINPK-PPL,Hookeze
LBTP-PP,SINPK-PPL,Hookeze
BED-7D3-PLR,SINPK-PPL,Hookeze
SINPK-PPL-FBA,SINPK-PPL,Hookeze
BM1072-1,Spice Rack-Large,Gobam
BM1072,Spice Rack-Small,Gobam
BM1046,Step Stool-10.65,Gobam
BM1047A,Step Stool-11.80,Gobam
GBM1047A,Step Stool-11.80,Gobam
GBM1045,Step Stool-7.30,Gobam
BM1045,Step Stool-7.30,Gobam
FBM-SWT101WH-L,SWT101WH-L,ZooSnoods
FBM-SWT101WH-M,SWT101WH-M,ZooSnoods
amzn.gr.T9-KTOF-LNX0-BbLM81uO3hTHhvZn-LN,T9-KTOF-LNX0,Jocuu
THOLDER-BL,THOOK-BL,Unjumbly
BM1009-1,Toilet Brush & Holder-Black,Gobam
BM1009,Toilet Brush & Holder-Natural,Gobam
BM1001A,Toilet Step Stool-S,Gobam
U2-Z8I1-HZ2Q-UPC,U2-Z8I1-HZ2Q,Bellaforte
U7-UTFU-VYH8-UK,U7-UTFU-VYH8,Bellaforte
U7-UTFU-VYH8-UPC,U7-UTFU-VYH8,Bellaforte
U7-UTFU-VYH8-stickerless,U7-UTFU-VYH8,Bellaforte
VE-PALMT-G-01,VE-PALMT-G-01-120CM,Velener
VH-M9E6-DRAJ-UPC,VH-M9E6-DRAJ,Bellaforte
Water Hyacinth Placemats 30 cm,Water Hyacinth Placemats 30 cm x6,YangQiHome
YC-QH09-0IKL-UPC,YC-QH09-0IKL,Bellaforte
FBM-YOD101GG-L,YOD101GG-L,ZooSnoods
FBM-YOD101GG-M,YOD101GG-M,ZooSnoods
FBM-YOD101GG-S,YOD101GG-S,ZooSnoods
YR-JZES-LPY3-UK,YR-JZES-LPY3,Bellaforte
YR-JZES-LPY3-UPC,YR-JZES-LPY3,Bellaforte
amzn.gr.ZO-427S-YYCR-ZNQUfvt8AUpxct1D-LN,ZO-427S-YYCR,Jocuu
amzn.gr.ZO-427S-YYCR-p1jLVRl4_16tfKL--VG,ZO-427S-YYCR,Jocuu
amzn.gr.ZO-427S-YYCR-HdHQflcRwCKAXn-U-GD,ZO-427S-YYCR,Jocuu
0E-MQ9Y-KQHJ,0E-MQ9Y-KQHJ,Jocuu
7K-MKR0-04EL,7K-MKR0-04EL,Jocuu
BM1002A,BM1001A,Gobam
MB1008-1,BM1008-1,Gobam
MB1027-1,BM1027-1,Gobam
MB1028,BM1028,Gobam
GBM1039,BM1039,Gobam
GBM1043,BM1043,Gobam
GBM1046,BM1046,Gobam
MB1057,BM1057,Gobam
GBM1044,BM1066,Gobam
GBM1067,BM1067,Gobam
JOC-US-C3-Milk whisk-Red,JOC-US-C3-Milk-whisk-Red,Jocuu
